0,1,2,3,4
2,"[4, 1]",0.15,0.7,tanh
3,"[4, 7, 1]",0.1,0.2,tanh
3,"[4, 17, 1]",0.01,0.0,tanh
4,"[4, 16, 8, 1]",0.05,0.4,tanh
5,"[4, 3, 3, 3, 1]",0.2,0.1,tanh
2,"[4, 1]",0.001,0.2,linear
3,"[4, 7, 1]",0.001,0.9,linear
3,"[4, 17, 1]",0.001,0.6,linear
4,"[4, 16, 8, 1]",0.001,0.7,linear
5,"[4, 3, 3, 3, 1]",0.001,0.8,linear
2,"[4, 1]",0.2,0.0,sigmoid
3,"[4, 7, 1]",0.01,0.1,sigmoid
3,"[4, 17, 1]",0.05,0.6,sigmoid
4,"[4, 16, 8, 1]",0.15,0.8,sigmoid
5,"[4, 3, 3, 3, 1]",0.1,0.7,sigmoid
2,"[4, 1]",0.001,0.9,relu
3,"[4, 7, 1]",0.001,0.4,relu
3,"[4, 17, 1]",0.001,0.2,relu
4,"[4, 16, 8, 1]",0.001,0.1,relu
5,"[4, 3, 3, 3, 1]",0.001,0.8,relu
2,"[4, 1]",0.001,0.2,lrelu
3,"[4, 7, 1]",0.001,0.9,lrelu
3,"[4, 17, 1]",0.001,0.0,lrelu
4,"[4, 16, 8, 1]",0.001,0.1,lrelu
5,"[4, 3, 3, 3, 1]",0.001,0.8,lrelu
